0,1.000000	
0,1.000000	
0,1.000000	
0,1.000000	
1,1.000000	
1,1.000000	
1,1.000000	
1,1.000000	
1,1.000000	
1,1.000000	
1,1.000000	
0,0.998443	1,0.001557	
0,0.998934	1,0.001066	
0,0.995099	1,0.004901	
0,0.995328	1,0.004672	
0,0.997924	1,0.002076	
0,0.998181	1,0.001819	
0,0.995393	1,0.004607	
0,0.998034	1,0.001966	
0,0.995227	1,0.004773	
0,0.997686	1,0.002314	
0,0.997716	1,0.002284	
0,0.996952	1,0.003048	
0,0.995306	1,0.004694	
0,0.995154	1,0.004846	
0,0.995293	1,0.004707	
0,0.998292	1,0.001708	
0,0.997239	1,0.002761	
0,0.995073	1,0.004927	
0,0.996305	1,0.003695	
0,0.995370	1,0.004630	
0,0.995178	1,0.004822	
0,0.997200	1,0.002800	
0,0.997523	1,0.002477	
0,0.995497	1,0.004503	
0,0.997491	1,0.002509	
0,0.995255	1,0.004745	
0,0.997508	1,0.002492	
0,0.996843	1,0.003157	
0,0.997296	1,0.002704	
0,0.994758	1,0.005242	
0,0.897413	1,0.102587	
0,0.839983	1,0.160017	
0,0.152499	1,0.847501	
0,0.075217	1,0.924783	
0,0.069821	1,0.930179	
0,0.049162	1,0.950838	
0,0.967083	1,0.032917	
0,0.951880	1,0.048120	
0,0.215682	1,0.784318	
0,0.143558	1,0.856442	
0,0.892521	1,0.107479	
0,0.394316	1,0.605684	
0,0.272241	1,0.727759	
0,0.053355	1,0.946645	
0,0.039062	1,0.960938	
0,0.034805	1,0.965195	
0,0.009616	1,0.990384	
0,0.060591	1,0.939409	
0,0.030663	1,0.969337	
0,0.026710	1,0.973290	
0,0.022359	1,0.977641	
0,0.021957	1,0.978043	
0,0.100541	1,0.899459	
0,0.076351	1,0.923649	
0,0.062868	1,0.937132	
0,0.033054	1,0.966946	
0,0.029560	1,0.970440	
0,0.026782	1,0.973218	
0,0.022764	1,0.977236	
0,0.022065	1,0.977935	
0,0.066193	1,0.933807	
0,0.026771	1,0.973229	
0,0.022769	1,0.977231	
0,0.019590	1,0.980410	
0,0.018943	1,0.981057	
0,0.062013	1,0.937987	
0,0.043271	1,0.956729	
0,0.029153	1,0.970847	
0,0.025958	1,0.974042	
0,0.020609	1,0.979391	
0,0.018440	1,0.981560	
0,0.017764	1,0.982236	
0,0.015481	1,0.984519	
0,0.055890	1,0.944110	
0,0.040524	1,0.959476	
0,0.029666	1,0.970334	
0,0.025251	1,0.974749	
0,0.022562	1,0.977438	
0,0.018989	1,0.981011	
0,0.006810	1,0.993190	
